Actor1,Actor2,collaboration_count
Diego Luna,José María Yazpik,2
Julie Graham,Rachael Stirling,2
Amber Lee Connors,Brittney Karbowski,2
Awi Suryadi,Prilly Latuconsina,2
Bobby Berk,Karamo Brown,2
Bailey Gambertoglio,Beth Sleven,2
Artyom Kretov,Roman Karev,2
Inori Minase,Kana Hanazawa,2
Anil Kapoor,Harshvardhan Kapoor,2
Robert Rodriguez,Salma Hayek,2
Samantha Sloyan,Zach Gilford,2
Ahmed Helmy,Khalid Marie,2
Adam Driver,Noah Baumbach,2
Hideaki Anno,Megumi Ogata,2
Nicholas Saputra,Titi Kamal,2
Antonio Banderas,Salma Hayek,2
Jesse V. Johnson,Vladimir Kulich,2
Quentin Tarantino,Uma Thurman,2
Ana Sani,J.J. Gerber,2
Chris Pine,David Mackenzie,2
America Young,Greg Chun,2
Carlo Giordana,Linda Christian,2
Jose Coronado,Mario Casas,2
Salvador Calvo,Álvaro Cervantes,2
Arnold Schwarzenegger,Vlad Yudin,2
Luis Callejo,Miki Esparbé,2
John Paul Tremblay,Mike Clattenburg,2
Jake Kasdan,Karen Gillan,2
Barbara Bialowas,Magdalena Lamparska,2
Ali Afshar,David Del Rio,2
Chicco Jerikho,Rio Dewanto,2
Brittany Underwood,Doug Campbell,2
Ashleigh Ball,Brian Drummond,2
Javier Ruiz Caldera,Miki Esparbé,2
Lizzie Freeman,Ryan Colt Levy,2
Jacques Torres,Nicole Byer,2
Ben Diskin,Jessica Gee-George,2
Grant George,Jessica Gee-George,2
Kate Siegel,Samantha Sloyan,2
Abby Trott,Gina Rodriguez,2
Adam Carolla,Charlie Agapiou,2
Ben Diskin,Matt Danner,2
Famke Janssen,Olivier Megaton,2
Magdalena Lamparska,Simone Susinna,2
Honor Kneafsey,John Schultz,2
Brian Klein,Jimmy Carr,2
Boris Bokir,Indro Warkop,2
Adipati Dolken,Tanta Ginting,2
Metin Akdülger,Ozan Açiktan,2
Antonio Tabet,Fábio Porchat,2
Jacob Elordi,Molly Ringwald,2
Michael Sandager,Mikkel Boe Følsgaard,2
Keslee Blalock,Madison Skye Validum,2
Jaylen Barron,Manpreet Bambra,2
Johnny Yong Bosch,Stephanie Sheh,2
Claudio Norza,Giancarlo Commare,2
John Dunsworth,Mike Clattenburg,2
Alessio Maria Federici,Enrico Brignano,2
Ata Demirer,Demet Akbag,2
Pamiga Sooksawee,Thanabordee Jaiyen,2
Erica Mendez,Rachelle Heger,2
David Carradine,Uma Thurman,2
Ameerah Falzon-Ojo,Andy Coyle,2
Jennifer Lee,Josh Gad,2
Kyoko Hinami,Shinnosuke Mitsushima,2
Edoardo Ponti,Sophia Loren,2
Maria Casadevall,Mel Lisboa,2
Ronny Chieng,Sebastian DiNatale,2
Gary Howsam,Robb Wells,2
Alberto Farnese,Tomas Milian,2
Andy Richter,Kevin Michael Richardson,2
Ario Bayu,Tara Basro,2
Kang Ye Na,Sang Lee,2
Chris Buck,Kristen Bell,2
Dwayne Johnson,Kevin Hart,2
Josh Gad,Luke Evans,2
Anna-Maria Sieklucka,Magdalena Lamparska,2
Abimana Aryasatya,Arie Kriting,2
Matt Duffer,Shawn Levy,2
Billy Kametz,Erica Mendez,2
Cecilia Suárez,Juan Pablo Medina,2
Daryl Hannah,David Carradine,2
Guillaume Pierret,Stéfi Celma,2
Jude Law,Kate Winslet,2
Brian Baumgartner,Lucas Neff,2
Ali Wong,Nahnatchka Khan,2
Jesse Eisenberg,Woody Harrelson,2
Fajar Bustomi,Pidi Baiq,2
Lana Condor,Michael Fimognari,2
Maisie Benson,Paul Killam,2
Andrew L. Schmidt,Francisco Ruiz-Velasco,2
Claudio Norza,Désirée Giorgetti,2
Carlos Alazraqui,Mr. Lawrence,2
Oja Kodar,Orson Welles,2
Morgan Freeman,Stan Lathan,2
Emi Takei,Keishi Otomo,2
Jackie R. Jacobson,Savage Steve Holland,2
Edeltraud Bohnau,Willi Malessa,2
Henrik Norlén,Jakob Eklund,2
Franco Escamilla,Ulises Valencia,2
Ademola Adedoyin,Kunle Afolayan,2
John Belushi,John Landis,2
John Schultz,Rose McIver,2
Bo Maerten,Maurits Delchot,2
Manon Azem,Tiphaine Daviot,2
Erin Mathews,Vincent Tong,2
Alice Krige,John Schultz,2
Conor Husting,Paulina Chávez,2
Derren Brown,Jon Richards,2
Keoni Waxman,Steven Seagal,2
Candace Cameron Bure,Dave Coulier,2
Cassandra Lee Morris,Kyle McCarley,2
Alban Lenoir,Stéfi Celma,2
Damián Alcázar,Luis Estrada,2
Barbra Streisand,Dwight Hemion,2
Brian Baumgartner,Glen Keane,2
Robert Pulcini,Shari Springer Berman,2
Anna Cathcart,Janel Parrish,2
McG,Samara Weaving,2
Alexa Kahn,Rachelle Heger,2
Chris Hemsworth,Sam Hargrave,2
Delroy Lindo,Spike Lee,2
Mikael Tornving,Richard Holm,2
Anurag Kashyap,Zoya Akhtar,2
Al Bano,Linda Christian,2
Adam Sandler,Idina Menzel,2
Chinnarat Siriphongchawalit,Metawin Opas-Iamkajorn,2
Ali Wong,Jay Karas,2
Angga Dwimas Sasongko,Jajang C. Noer,2
Aytaç Agirlar,Sezai Paracikoglu,2
Christian Bale,Scott Cooper,2
Audu Paden,Dan Fraga,2
Michele Morrone,Simone Susinna,2
Eri Kamataki,Kyoko Hinami,2
Amber Lee Connors,Saori Hayami,2
Mika Abdalla,Victoria Vida,2
Alexa Kahn,Erica Mendez,2
Paulina Chávez,Reed Horstmann,2
Arie Kriting,Putri Marino,2
Jens Hultén,Peter Lindmark,2
Kazuya Tsurumaki,Kotono Mitsuishi,2
Paul Panting,Simon Greenall,2
Mandra,Maudy Koesnaedi,2
Ross Wilson,Russell Brand,2
Mark Ruffalo,Woody Harrelson,2
David Del Rio,Lauren Swickard,2
Benedict Wong,Lorenzo Richelmy,2
Akiva Schaffer,Andy Samberg,2
Ali Atay,Serkan Keskin,2
Finn Wolfhard,Gina Rodriguez,2
Pidi Baiq,Vanesha Prescilla,2
George Carlin,Peter Joseph,2
Jerry Seinfeld,Michael Richards,2
Junya Enoki,Yûichi Nakamura,2
Nick Sagar,Vanessa Hudgens,2
Artyom Kretov,Elena Kareva,2
Nick Lachey,Vanessa Lachey,2
Kevin Costner,Kevin Reynolds,2
Amanda Seyfried,Gary Oldman,2
Jeff Dunham,Manny Rodriguez,2
Idina Menzel,Jennifer Lee,2
Jack Black,Jake Kasdan,2
Daryl Hannah,Michael Madsen,2
Ian McKellen,Viggo Mortensen,2
Marguerite Moreau,Michael Showalter,2
Charlie Watts,Mick Jagger,2
Ben Diskin,Grant George,2
Kunle Afolayan,Lateef Adedimeji,2
Kaho,Mirai Shida,2
Johnny Yong Bosch,Takahiro Sakurai,2
Carlos Ballarta,Raúl Campos,2
Hannah Gadsby,Madeleine Parry,2
Sabrina Ouazani,Zita Hanrot,2
Jamie Clayton,Josh Oreck,2
Keith Silverstein,Kira Buckland,2
Ashleigh Ball,Rebecca Shoichet,2
Gary Howsam,Mike Smith,2
Catherine OHara,Eugene Levy,2
Carson Kressley,RuPaul,2
Frank Lammers,Sanne Langelaar,2
Chris Buck,Jonathan Groff,2
Benicio Del Toro,Josh Brolin,2
Robert Rodriguez,YaYa Gosselin,2
Bront Palarae,Tara Basro,2
Hideaki Anno,Kazuya Tsurumaki,2
Arón Piper,Omar Ayuso,2
Johnny Rose,Paul Tei,2
Casper Van Dien,Christina Moore,2
Al Bano,Romina Power,2
Minori Chihara,Yûko Gotô,2
Enzo Cannavale,Margherita Fumero,2
Alfred Vohrer,Pierre Brice,2
Lucas Lynggaard Tønnesen,Mikkel Boe Følsgaard,2
Pierre Brice,Stewart Granger,2
Fábio Porchat,Gregório Duvivier,2
Jochem Myjer,Jos Thie,2
Freema Agyeman,Josh Oreck,2
Maryke Hendrikse,Shannon Chan-Kent,2
Bella Ramsey,Oliver Nelson,2
Allyn Rachel,Kent Osborne,2
María Pedraza,Pol Monen,2
Kumail Nanjiani,Lisa Kudrow,2
Iqbaal Dhiafakhri Ramadhan,Ira Wibowo,2
Kagiso Lediga,Pearl Thusi,2
Fábio Porchat,Rodrigo Van Der Put,2
Sang Lee,Subin Park,2
Gary Daniels,Luis Gatica,2
David Spade,London Hughes,2
Dario Yazbek Bernal,Juan Pablo Medina,2
Dwayne Johnson,Karen Gillan,2
Omari Hardwick,Zack Snyder,2
Emicida,Fred Ouro Preto,2
Javier Gutiérrez,Karra Elejalde,2
Antoine Fuqua,Jake Gyllenhaal,2
Aya Hirano,Yûko Gotô,2
Jigna Bharadhwaj,Neshma Chemburkar,2
Annemarie Blanco,Oscar Cheda,2
Akio Ôtsuka,Takahiro Sakurai,2
James Franco,Winona Ryder,2
Ernest Prakasa,Reza Rahadian,2
Katherine Heigl,Robert Luketic,2
Sam Kinison,Walter C. Miller,2
Candace Nelson,Hunter March,2
Bob Bryan,Bruin,2
Griffin Burns,Kyle McCarley,2
Alexis Bledel,Scott Patterson,2
Gal Gadot,Ryan Reynolds,2
Carrie Keranen,Hiroaki Iwanaga,2
Kevin Wotton,Sydney Park,2
Michael Madsen,Quentin Tarantino,2
Jason Bateman,Jennifer Aniston,2
Mario Andretti,Nate Adams,2
Talia Jackson,Tia Mowry-Hardrict,2
Elijah Wood,Viggo Mortensen,2
Alex Woo,Kerry Gudjohnsen,2
Alexander James Rodriguez,Allyn Rachel,2
Adriana Ugarte,Javier Gutiérrez,2
Michael Palin,Terry Jones,2
Kotono Mitsuishi,Yûko Miyamura,2
Kazuya Tsurumaki,Yûko Miyamura,2
Jack Black,Kevin Hart,2
Daryl Hannah,Quentin Tarantino,2
Charity George,Jacques Torres,2
Jagapathi Babu,Shruti Haasan,2
Michael Murphy,Simon Greenall,2
Ana Sani,Jenna Warren,2
Alan C. Lim,Smith Foreman,2
America Ferrera,Christopher Mintz-Plasse,2
Anurag Kashyap,Dibakar Banerjee,2
Liam Neeson,Matt Damon,2
Ayana Taketatsu,Kana Hanazawa,2
Artyom Kretov,Elena Solovieva,2
Lynn Shelton,Marc Maron,2
Kazuyuki Okitsu,Shizuka Itô,2
Mo Bakker,Renée Soutendijk,2
Daniel Lind Lagerlöf,Jakob Eklund,2
Jonathan Van Ness,Karamo Brown,2
Charlie Hunnam,Guy Ritchie,2
Gal Gadot,Rawson Marshall Thurber,2
Bo Burnham,Christopher Storer,2
Annemarie Blanco,Paul Tei,2
Al Pacino,Martin Scorsese,2
Nishka Raheja,Samriddhi Shukla,2
Amanda Rawles,Indra Gunawan,2
Annemarie Blanco,Johnny Rose,2
Aranya Kaur,Nishka Raheja,2
Kana Hanazawa,Sora Amamiya,2
Alex Woo,Smith Foreman,2
Marguerite Moreau,Zak Orth,2
Hiroshi Kamiya,Yûki Kaji,2
Choi Jin-Hyuk,Min-Sang Kim,2
Hideaki Anno,Megumi Hayashibara,2
Elyse Maloway,Vincent Tong,2
Anya OConnor,Ruth Negga,2
Camila Cabello,Paul Dugdale,2
Jozef Gjura,Ludovica Francesconi,2
Cristina Valenzuela,Kyle McCarley,2
Elena Kareva,Roman Karev,2
Adam Sevani,Jon M. Chu,2
Gregório Duvivier,Rodrigo Van Der Put,2
Sonakshi Sinha,Tahir Raj Bhasin,2
Steven M. Smith,Tony Fadil,2
Flip Van der Kuil,Huub Smit,2
Bolanle Austen-Peters,Osas Ighodaro,2
Jeremy Thomas,Rocky Soraya,2
Gonzalo de Castro,Jose Coronado,2
Charlie Agapiou,Mario Andretti,2
