title,year,certificate,duration,genre,rating,description,stars,votes,type
Colombia magia salvaje,2015,Unknown,94 min,Documentary,8.3,"A wonderful country full of amazing creatures in America called Colombia , seen as never before, accompanied by incredible shots , make it a must-see place for adventurers and wildlife lovers this natural paradise.","['Mike Slee', '| ', '    Star:', 'Julio Sanchéz Cristo']",1304,Movie
My Name Is Barbra,1965,Unknown,60 min,"Family, Music",8.3,"Barbra Streisand's first television special, featuring a medley of her hit songs, such as \"People,\" \"Happy Days Are Here Again\" and \"My Man.\"","['Dwight Hemion, ', 'Joe Layton', '| ', '    Star:', 'Barbra Streisand']",364,Movie
Empresses in the Palace,2015,Unknown,90 min,"Drama, History, Romance",8.3,Six episode cut version of the China's royal harem story Empresses in the Palace (2011).,"['Li Sun, ', 'Kang Luo, ', 'Qian Sun, ', 'Lyric Lan']",357,Movie
Escape from the Spirit World,2007,Unknown,13 min,Short,8.3,This video short follows Aang as he wanders the spirit world looking for his past lives while he was unconscious from when he was electrocuted by Azula (in between seasons 2 and 3). He ...                See full summary »,"['Zach Tyler Eisen, ', 'Mae Whitman, ', 'Jack De Sena, ', 'Michaela Jill Murphy']",282,Movie
"You Can Do It, My Dear!",2022,Unknown,129 min,Documentary,8.3,"Throughout his impressive acting career, Haldun Dormen inspired and encouraged his theater students to work hard and follow their dreams.","['Selçuk Metin', '| ', '    Stars:', 'Haldun Dormen, ', 'Demet Evgar, ', 'Memet Ali Alabora, ', 'Mustafa Alabora']",265,Movie
Moving Art: Flowers,2014,Not Rated,25 min,"Documentary, Short",8.3,"Celebrated filmmaker Louie Schwartzberg takes viewers on an enchanting journey, unveiling the mysteries and wonders of the natural world as elegant flowers come to life through his stunning time-lapse cinematography.",['Louie Schwartzberg'],211,Movie
Moving Art: Forests,2014,Not Rated,25 min,"Documentary, Short",8.3,Viewers will marvel at the majesty of nature's gentle giants as filmmaker Louie Schwartzberg journeys to the Redwood Coast and Olympic National Park.,['Louie Schwartzberg'],203,Movie
All Quiet on the Western Front,2022,R,147 min,"Action, Drama, War",8.3,A young German soldier's terrifying experiences and distress on the western front during World War I.,"['Edward Berger', '| ', '    Stars:', 'Daniel Brühl, ', 'Albrecht Schuch, ', 'Sebastian Hülk, ', 'Anton von Lucke']",199,Movie
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",8.3,"When Oh Sang Mi disappears, Dal Geon and Hae Ri realize there's more to the situation. Meanwhile, Prime Minister Hong takes advantage of the crisis.","['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",119,Movie
Moving Art: Waterfalls,2015,Unknown,25 min,"Documentary, Short",8.3,This collection of short nature films from Louie Schwartzberg depicts the world's most dazzlingly beautiful waterfalls.,['Louie Schwartzberg'],96,Movie
Hikaru Utada: Laughter in the Dark Tour 2018,2019,Unknown,141 min,Music,8.3,"If there was anyone you could call a true queen of J-pop, it's most definitely Utada Hikaru. She's one of the best selling artists in Japan of all time, with her debut album hitting almost ...                See full summary »",['Hikaru Utada'],93,Movie
Rimba Racer,2017,Unknown,22 min,"Animation, Action, Adventure",8.3,"RIMBA Racer is an action-packed animation series revolving around Tag, a talented rookie racer and newcomer to the prestigious RIMBA Grand Prix, a racing competition full of tough rivals, dangerous challenges and hidden agendas.","['Steven Tan, ', 'Iain McNally, ', 'Tikriti Shabudin, ', 'Azman Zulkiply']",77,Movie
Voltron 84,2017,Unknown,Unknown,"Animation, Action, Sci-Fi",8.3,Add a Plot,"['Jeffrey Michael Adams, ', 'Steve Ahn, ', 'Christine Bian, ', 'Kimberly Brooks']",60,Movie
Fuller House Featurette,2016,Unknown,Unknown,Short,8.3,Add a Plot,['Twain Taylor'],24,Movie
